iare_code,Indigenous Area name,income inequality,unemployment inequality,Primary-school dropout inequality,middle-school participation equality,internet access equality,social engagement equality,Index of Relative Socio-economic Disadvantage_Score,Index of Relative Socio-economic Disadvantage_Decile,Index of Relative Socio-economic Advantage and Disadvantage_Score,Index of Relative Socio-economic Advantage and Disadvantage_Decile,Index of Economic Resources_Score,Index of Economic Resources_Decile,Index of Education and Occupation_Score,Index of Education and Occupation_Decile,Usual Resident Population
IARE202001,Ballarat,0.1962737797497895,0.16220144253840446,0.15716843464907862,0.14215000989527998,0.15775451905203935,0.14739911931521574,980.41,4.87,965.44,4.46,962.31,4.35,986.42,5.17,101532.0
IARE202002,Baw Baw,0.16802544712734527,0.253283795679634,0.15618484595657747,0.11760960172745236,0.15307987864116918,0.15839504708214264,997.01,5.03,975.9,4.52,1010.67,5.83,972.44,4.63,48555.0
IARE202003,Bendigo,0.2049534368820493,0.16979221723101195,0.1621314040693399,0.135616380163228,0.16055129121850828,0.1528156898880185,980.29,4.66,960.77,4.18,974.46,4.66,969.4,4.6,110697.0
IARE201001,Brimbank,0.08211288464468829,0.08455745080974056,0.14785473574763966,0.05633409448629849,0.16376886321936562,0.16608424674438296,921.41,3.0,929.83,3.19,960.75,4.09,915.52,2.94,194235.0
IARE202004,Campaspe - Shepparton - Moira,0.16352957566840573,0.21034526802227144,0.1402888585371766,0.12292590247430328,0.1536033669097592,0.14567159660937526,953.89,3.95,937.04,3.58,970.83,4.62,938.18,3.64,130030.0
IARE201002,Cardinia,0.09482071357405014,0.12796665821013375,0.13107154014051536,0.18801589376560168,0.16615649019558346,0.1621459941597234,1021.48,5.88,996.34,5.2,1039.08,6.64,969.76,4.53,94217.0
IARE202005,Castlemaine - Kerang,0.15618309463980345,0.1709251063676563,0.13834664388499615,0.12460087921695183,0.15832031431666835,0.1499897345345735,971.01,3.88,956.07,3.85,957.47,3.89,995.16,5.39,13758.0
IARE201003,Craigieburn - Sunbury,0.1214026989412504,0.10383547309310982,0.15937881858454991,0.159345355152448,0.16103957545076944,0.16283507956797724,1003.56,5.31,982.65,4.84,1028.7,6.23,946.93,3.83,21089.0
IARE201004,Cranbourne - Narre Warren,0.15526045967832097,0.12095380661351865,0.16249928000038874,0.14511596540170746,0.15913014270351206,0.16296325009762125,980.34,4.67,965.33,4.36,1018.45,5.88,931.86,3.3,27848.0
IARE201005,Frankston,0.1557191854431352,0.12487577299795323,0.15304119108491526,0.16459370551590072,0.16320718842679746,0.16074717901761262,995.89,5.21,976.33,4.7,996.14,5.21,971.37,4.68,133934.0
IARE202006,Geelong - Queenscliff,0.18652588981579954,0.1324556968303745,0.15300844234310754,0.15172450467838278,0.16562698237889367,0.16119815152133835,994.38,5.35,979.84,4.96,985.25,4.98,987.84,5.33,231376.0
IARE202007,Gippsland,0.14232931350774375,0.190542487662583,0.1496743507092891,0.13487470546555674,0.14196743840652834,0.15051745924913926,958.53,3.79,936.54,3.3,968.82,4.35,947.39,3.88,44969.0
IARE201006,Greater Dandenong,0.1263082546314872,0.13584915594359898,0.1365479101432625,0.18100825146358865,0.14786604968352055,0.13963388560835574,895.55,2.34,914.82,2.68,934.56,3.28,905.51,2.61,151757.0
IARE201007,Knox,0.1486520787325204,0.10956059349510204,0.18673485921107044,0.13103169668859938,0.16192280766531444,0.17342575942355748,1047.71,6.9,1031.72,6.42,1042.59,6.76,1018.47,6.18,153304.0
IARE202008,Latrobe,0.16153446714273248,0.1851345808672818,0.15957628642416313,0.17889911359373456,0.1624112827369408,0.13624009769073572,931.27,3.83,915.41,3.33,937.22,3.89,912.81,3.12,72855.0
IARE202009,Macedon Ranges - Moorabool,0.20181885052591889,0.14160278938732768,0.16660168250172347,0.1802204397745359,0.15793894088696495,0.15864803897564475,1039.84,6.55,1022.88,6.09,1051.71,7.13,1014.86,5.98,77786.0
IARE201008,Maribyrnong - Moonee Valley,0.14966622982900113,0.12287509518744877,0.15777212895809836,0.1151108597362305,0.16534362576053105,0.16612101174045282,1018.63,6.33,1035.18,6.79,977.47,4.98,1056.61,7.37,198910.0
IARE201009,Maroondah,0.13263586578137584,0.0951476765361327,0.16937660730611415,0.13634661720964233,0.1545406561237673,0.16262687954183816,1044.91,6.81,1034.12,6.47,1028.16,6.35,1038.06,6.79,110368.0
IARE201010,Melbourne - East,0.12316184803166652,0.0976856291333633,0.19706001550024374,0.19372352608823856,0.16289120685048075,0.16917192347332294,1119.52,9.7,1159.93,9.83,991.99,4.99,1204.36,10.0,4936.0
IARE201011,Melbourne - North-East,0.19701611173403488,0.10232449868518023,0.18398275063138025,0.12704957588070626,0.15752871490536588,0.1748771489158317,989.33,5.83,1046.91,7.59,834.15,1.88,1130.57,9.15,20323.0
IARE201012,Melbourne - Port Phillip,0.1210363845067713,0.09458921644023677,0.2556479064972173,0.1891974371560358,0.1493550306296649,0.1742647229722931,1035.36,6.82,1083.54,8.25,885.78,2.97,1149.76,9.56,234227.0
IARE201013,Melton,0.14980959170963554,0.12343137700335052,0.1577935254765446,0.20148202001387772,0.16543596439872296,0.1538479581982433,994.16,4.99,981.06,4.82,1028.34,6.32,953.0,4.09,134268.0
IARE202010,Mildura,0.19302558661269728,0.2214204656094185,0.1632984267068324,0.12214126454421667,0.15330868827537822,0.1342563926802745,935.2,3.6,921.24,3.21,944.79,3.92,927.9,3.5,53838.0
IARE201014,Monash,0.1239998658585243,0.09363139124767887,0.18060887483588972,0.13829461778337376,0.1623093983393936,0.16245119541285402,1045.04,6.8,1060.19,7.47,1008.25,5.78,1082.11,8.11,180377.0
IARE201015,Moreland - Broadmeadows,0.12618039222344368,0.11087438223102894,0.13638322678281573,0.14143901745045573,0.17052009901681556,0.15012238970441197,996.2,5.29,1010.46,5.9,955.01,3.83,1038.5,6.74,175795.0
IARE201016,Mornington Peninsula,0.1633469188772572,0.1387782190480681,0.1518520813104009,0.16969426508939522,0.16302628684544399,0.16851689873094236,1029.96,6.35,1012.44,5.83,1031.6,6.36,1013.32,5.9,154121.0
IARE201017,Northcote - Preston - Whittlesea,0.1375913721561577,0.1149210588699577,0.16696693610210145,0.15452127628312126,0.1626632169547582,0.16166513585749706,995.75,5.14,992.74,5.19,1006.11,5.55,985.97,5.09,241686.0
IARE202011,South Gippsland - Bass Coast,0.14795195441533068,0.17593417365051728,0.12742578109051927,0.1868678594292993,0.1723259921528996,0.1682972573287723,977.76,4.33,954.44,3.9,986.32,4.84,965.15,4.41,61528.0
IARE202013,Southern Grampians - Glenelg,0.1523013027973365,0.2163921360453872,0.14144429249912555,0.13765085188537934,0.15715472709341372,0.15950336954904254,967.18,4.19,945.18,3.69,976.26,4.59,950.23,3.91,35556.0
IARE202012,South-West Central Victoria,0.13306846977852266,0.1694337108407749,0.1365176306286285,0.16295394572650415,0.16297037190060992,0.16556093483707798,992.3694736842107,5.148157894736842,985.4421052631579,5.007631578947369,985.8765789473683,5.055,991.8573684210527,5.205263157894739,101949.63157894736
IARE202014,Swan Hill,0.17083847585877765,0.22273942572038893,0.1378631136823474,0.2361972573874875,0.15179031773335347,0.16108807810014586,946.67,3.78,934.2,3.46,956.47,4.15,939.04,3.53,20593.0
IARE202015,Upper Goulburn Valley,0.11859025155712127,0.12687939299185574,0.14191365914437645,0.18899070404028964,0.1615930756334182,0.15171374128851112,908.0,2.0,887.0,2.0,972.0,4.0,927.0,3.0,182.0
IARE202016,Wallan - Seymour,0.14283895734342136,0.1606216297110254,0.1363269921248067,0.18765086410026435,0.1653760506545726,0.17964264466741284,987.99,4.99,963.63,4.37,1014.66,6.16,934.68,3.45,22536.0
IARE202017,Warrnambool,0.27983836506068355,0.2812541666540533,0.1717509206791759,0.18655065969067086,0.1680604255482422,0.16290324973580256,985.82,4.75,961.02,4.14,970.15,4.48,962.8,4.44,33689.0
IARE201018,Whitehorse,0.2149896674277173,0.09215461636760054,0.19107503605580872,0.17038483485495953,0.1614041957984558,0.1635153660644685,1048.72,7.07,1062.49,7.57,1010.72,5.88,1090.28,8.32,162111.0
IARE202018,Wimmera,0.18039106640661806,0.2567945587775777,0.15534436420164466,0.2091606095509632,0.1567001323125048,0.15724697545415225,985.04,4.58,977.3,4.46,1003.08,5.37,1005.72,5.52,3892.0
IARE202019,Wodonga,0.1874615040417602,0.20913432179599428,0.15464592255918402,0.14416814127239042,0.15926919739178025,0.16664877920441382,976.04,4.95,956.38,4.3,973.61,4.78,958.33,4.31,39341.0
IARE201019,Wyndham - Altona,0.11096754736745172,0.12547875514512002,0.15488123982067314,0.15513220582443615,0.16302019022448694,0.16045524176289253,1010.21,5.52,1003.88,5.5,1019.91,6.04,988.11,5.13,228592.0
IARE201020,Yarra Ranges,0.15855877583661215,0.14887246803038742,0.15159543588068825,0.14506791570551272,0.15960767825810931,0.16935787696121207,1039.98,6.59,1016.56,5.89,1049.47,7.08,1005.16,5.67,149275.0
