iare_code,Index of Relative Socio-economic Disadvantage_Score,Index of Relative Socio-economic Disadvantage_Decile,Index of Relative Socio-economic Advantage and Disadvantage_Score,Index of Relative Socio-economic Advantage and Disadvantage_Decile,Index of Economic Resources_Score,Index of Economic Resources_Decile,Index of Education and Occupation_Score,Index of Education and Occupation_Decile,Usual Resident Population
IARE201017,995.75,5.14,992.74,5.19,1006.11,5.55,985.97,5.09,241686.0
IARE202004,953.89,3.95,937.04,3.58,970.83,4.62,938.18,3.64,130030.0
IARE202011,977.76,4.33,954.44,3.9,986.32,4.84,965.15,4.41,61528.0
IARE202013,967.18,4.19,945.18,3.69,976.26,4.59,950.23,3.91,35556.0
IARE201008,1018.63,6.33,1035.18,6.79,977.47,4.98,1056.61,7.37,198910.0
IARE202012,992.3694736842106,5.148157894736843,985.4421052631579,5.007631578947369,985.8765789473682,5.055,991.8573684210527,5.205263157894738,101949.63157894737
IARE202009,1039.84,6.55,1022.88,6.09,1051.71,7.13,1014.86,5.98,77786.0
IARE201004,980.34,4.67,965.33,4.36,1018.45,5.88,931.86,3.3,27848.0
IARE201012,1035.36,6.82,1083.54,8.25,885.78,2.97,1149.76,9.56,234227.0
IARE201015,996.2,5.29,1010.46,5.9,955.01,3.83,1038.5,6.74,175795.0
IARE201011,989.33,5.83,1046.91,7.59,834.15,1.88,1130.57,9.15,20323.0
IARE201003,1003.56,5.31,982.65,4.84,1028.7,6.23,946.93,3.83,21089.0
IARE202015,908.0,2.0,887.0,2.0,972.0,4.0,927.0,3.0,182.0
IARE202006,994.38,5.35,979.84,4.96,985.25,4.98,987.84,5.33,231376.0
IARE202005,971.01,3.88,956.07,3.85,957.47,3.89,995.16,5.39,13758.0
IARE201016,1029.96,6.35,1012.44,5.83,1031.6,6.36,1013.32,5.9,154121.0
IARE201006,895.55,2.34,914.82,2.68,934.56,3.28,905.51,2.61,151757.0
IARE202016,987.99,4.99,963.63,4.37,1014.66,6.16,934.68,3.45,22536.0
IARE201019,1010.21,5.52,1003.88,5.5,1019.91,6.04,988.11,5.13,228592.0
IARE201010,1119.52,9.7,1159.93,9.83,991.99,4.99,1204.36,10.0,4936.0
IARE201020,1039.98,6.59,1016.56,5.89,1049.47,7.08,1005.16,5.67,149275.0
IARE202017,985.82,4.75,961.02,4.14,970.15,4.48,962.8,4.44,33689.0
IARE201018,1048.72,7.07,1062.49,7.57,1010.72,5.88,1090.28,8.32,162111.0
IARE202014,946.67,3.78,934.2,3.46,956.47,4.15,939.04,3.53,20593.0
IARE201005,995.89,5.21,976.33,4.7,996.14,5.21,971.37,4.68,133934.0
IARE201009,1044.91,6.81,1034.12,6.47,1028.16,6.35,1038.06,6.79,110368.0
IARE202007,958.53,3.79,936.54,3.3,968.82,4.35,947.39,3.88,44969.0
IARE201001,921.41,3.0,929.83,3.19,960.75,4.09,915.52,2.94,194235.0
IARE201002,1021.48,5.88,996.34,5.2,1039.08,6.64,969.76,4.53,94217.0
IARE202001,980.41,4.87,965.44,4.46,962.31,4.35,986.42,5.17,101532.0
IARE202010,935.2,3.6,921.24,3.21,944.79,3.92,927.9,3.5,53838.0
IARE202008,931.27,3.83,915.41,3.33,937.22,3.89,912.81,3.12,72855.0
IARE202002,997.01,5.03,975.9,4.52,1010.67,5.83,972.44,4.63,48555.0
IARE202018,985.04,4.58,977.3,4.46,1003.08,5.37,1005.72,5.52,3892.0
IARE202019,976.04,4.95,956.38,4.3,973.61,4.78,958.33,4.31,39341.0
IARE202003,980.29,4.66,960.77,4.18,974.46,4.66,969.4,4.6,110697.0
IARE201014,1045.04,6.8,1060.19,7.47,1008.25,5.78,1082.11,8.11,180377.0
IARE201013,994.16,4.99,981.06,4.82,1028.34,6.32,953.0,4.09,134268.0
IARE201007,1047.71,6.9,1031.72,6.42,1042.59,6.76,1018.47,6.18,153304.0
